id	org_name	paper_count	is_org	canonical_org_name	country	example1	example2	example3
92	Hong Kong University of Science and Technology	90	1	Hong Kong University of Science and Technology	China	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16122/15692	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/12352/11879	https://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewFile/4958/5517	
93	University of Technology Sydney	90	1	University of Technology Sydney	Australia	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/11780/11780	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16131/16076	http://proceedings.mlr.press/v48/gong16.pdf	
94	Qatar Computing Research Institute	90	1	Qatar Computing Research Institute	Qatar	https://www.aclweb.org/anthology/P15-1084.pdf	https://www.aclweb.org/anthology/N16-1129.pdf	https://papers.nips.cc//paper/5985-efficient-thompson-sampling-for-online-matrix-factorization-recommendation.pdf	
95	University of Pittsburgh	88	1	University of Pittsburgh	USA	https://www.aclweb.org/anthology/E17-2002.pdf	https://www.aclweb.org/anthology/C16-1006.pdf	https://papers.nips.cc//paper/6624-group-sparse-additive-machine.pdf	
96	University of Stuttgart	86	1	University of Stuttgart	Germany	https://www.aclweb.org/anthology/P18-1231.pdf	http://proceedings.mlr.press/v80/doerr18a/doerr18a.pdf	https://www.aclweb.org/anthology/P15-2014.pdf	
97	National Institute of Informatics	85	1	National Institute of Informatics	Japan	https://aaai.org/ojs/index.php/AAAI/article/view/3965/3843	https://www.aclweb.org/anthology/D15-1244.pdf	https://www.aclweb.org/anthology/P17-2080.pdf	
98	Yale University	85	1	Yale University	USA	https://papers.nips.cc//paper/8776-adaptive-sequence-submodularity.pdf	https://aaai.org/ojs/index.php/AAAI/article/view/4728/4606	https://aaai.org/ojs/index.php/AAAI/article/view/4807/4685	
99	University of Minnesota	84	1	University of Minnesota	USA	https://papers.nips.cc//paper/5834-structured-estimation-with-atomic-norms-general-bounds-and-applications.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewFile/5086/5370	https://papers.nips.cc//paper/5465-estimation-with-norm-regularization.pdf	
100	Institute for Infocomm Research	84	1	Institute for Infocomm Research	Singapore	https://openreview.net/pdf?id=Bkg8jjC9KQ	https://www.aclweb.org/anthology/Q16-1039.pdf	https://www.aclweb.org/anthology/D14-1088.pdf	
101	University of Massachusetts	83	1	UMass Amherst	USA	https://papers.nips.cc//paper/6701-active-bias-training-more-accurate-neural-networks-by-emphasizing-high-variance-samples.pdf	https://papers.nips.cc//paper/4819-map-inference-in-chains-using-column-generation.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9471/9773	
